CP	P	ANO	Estado	Ambiente
21.5	181	1984	SãoPaulo	Pequeno
12.4	27	1987	SãoPaulo	Pequeno
20	154	1989	SãoPaulo	Pequeno
21.2	198	1989	SãoPaulo	Pequeno
10.2	17	2006	SãoPaulo	Pequeno
9.6	18	2006	SãoPaulo	Pequeno
14.2	52	2006	SãoPaulo	Pequeno
14.3	48	2006	SãoPaulo	Pequeno
11	22	2006	SãoPaulo	Pequeno
13	36	2007	SãoPaulo	Pequeno
21.6	155	2014	SãoPaulo	Pequeno
13.5	33	2017	MinasGerais	Pequeno
13.4	31	2017	MinasGerais	Pequeno
24.3	289	2017	SãoPaulo	Pequeno
22.5	218	2017	SãoPaulo	Pequeno
